Item,Package,Title,Rows,Cols,n_binary,n_character,n_factor,n_logical,n_numeric,CSV,Doc
gravity,boot,Acceleration Due to Gravity,81,2,0,0,1,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/boot/gravity.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/gravity.html
hirose,boot,Failure Time of PET Film,44,3,1,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/boot/hirose.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/hirose.html
islay,boot,Jura Quartzite Azimuths on Islay,18,1,0,0,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/boot/islay.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/islay.html
manaus,boot,Average Heights of the Rio Negro river at Manaus,1080,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/manaus.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/manaus.html
melanoma,boot,Survival from Malignant Melanoma,205,7,2,0,0,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/boot/melanoma.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/melanoma.html
motor,boot,Data from a Simulated Motorcycle Accident,94,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/boot/motor.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/motor.html
neuro,boot,Neurophysiological Point Process Data,469,6,0,0,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/boot/neuro.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/neuro.html
nitrofen,boot,Toxicity of Nitrofen in Aquatic Systems,50,5,0,0,0,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/boot/nitrofen.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/nitrofen.html
nodal,boot,Nodal Involvement in Prostate Cancer,53,7,6,0,0,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/boot/nodal.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/nodal.html
nuclear,boot,Nuclear Power Station Construction Data,32,11,5,0,0,0,11,https://vincentarelbundock.github.io/Rdatasets/csv/boot/nuclear.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/nuclear.html
paulsen,boot,Neurotransmission in Guinea Pig Brains,346,1,0,0,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/boot/paulsen.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/paulsen.html
poisons,boot,Animal Survival Times,48,3,0,0,2,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/boot/poisons.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/poisons.html
polar,boot,Pole Positions of New Caledonian Laterites,50,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/polar.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/polar.html
remission,boot,Cancer Remission and Cell Activity,27,3,1,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/boot/remission.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/remission.html
salinity,boot,Water Salinity and River Discharge,28,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/boot/salinity.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/salinity.html
survival,boot,Survival of Rats after Radiation Doses,14,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/survival.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/survival.html
tau,boot,Tau Particle Decay Modes,60,2,0,0,1,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/boot/tau.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/tau.html
tuna,boot,Tuna Sighting Data,64,1,0,0,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/boot/tuna.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/tuna.html
urine,boot,Urine Analysis Data,79,7,1,0,0,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/boot/urine.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/urine.html
wool,boot,Australian Relative Wool Prices,309,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/wool.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/wool.html
Adler,carData,Experimenter Expectations,108,3,1,0,2,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Adler.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Adler.html
AMSsurvey,carData,American Math Society Survey Data,24,5,2,0,3,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/carData/AMSsurvey.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/AMSsurvey.html
Angell,carData,Moral Integration of American Cities,43,4,0,0,1,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Angell.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Angell.html
Anscombe,carData,U. S. State Public-School Expenditures,51,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Anscombe.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Anscombe.html
Arrests,carData,Arrests for Marijuana Possession,5226,8,5,0,5,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Arrests.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Arrests.html
Baumann,carData,Methods of Teaching Reading Comprehension,66,6,0,0,1,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Baumann.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Baumann.html
BEPS,carData,British Election Panel Study,1525,10,1,0,2,0,8,https://vincentarelbundock.github.io/Rdatasets/csv/carData/BEPS.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/BEPS.html
Bfox,carData,Canadian Women's Labour-Force Participation,30,6,0,0,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Bfox.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Bfox.html
Blackmore,carData,Exercise Histories of Eating-Disordered and Control Subjects,945,4,1,0,2,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Blackmore.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Blackmore.html
Burt,carData,Fraudulent Data on IQs of Twins Raised Apart,27,3,0,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Burt.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Burt.html
CanPop,carData,Canadian Population Data,16,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/carData/CanPop.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/CanPop.html
CES11,carData,"2011 Canadian National Election Study, With Attitude Toward Abortion",2231,9,3,0,6,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/carData/CES11.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/CES11.html
Chile,carData,Voting Intentions in the 1988 Chilean Plebiscite,2700,8,1,0,4,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Chile.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Chile.html
Chirot,carData,The 1907 Romanian Peasant Rebellion,32,5,0,0,0,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Chirot.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Chirot.html
Cowles,carData,Cowles and Davis's Data on Volunteering,1421,4,2,0,2,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Cowles.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Cowles.html
Davis,carData,Self-Reports of Height and Weight,200,5,1,0,1,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Davis.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Davis.html
DavisThin,carData,Davis's Data on Drive for Thinness,191,7,0,0,0,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/carData/DavisThin.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/DavisThin.html
Depredations,carData,Minnesota Wolf Depredation Data,434,5,0,0,0,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Depredations.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Depredations.html
Duncan,carData,Duncan's Occupational Prestige Data,45,4,0,0,1,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Duncan.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Duncan.html
Ericksen,carData,The 1980 U.S. Census Undercount,66,9,1,0,1,0,8,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Ericksen.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Ericksen.html
Florida,carData,Florida County Voting,67,11,0,0,0,0,11,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Florida.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Florida.html
Freedman,carData,Crowding and Crime in U. S. Metropolitan Areas,110,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Freedman.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Freedman.html
Friendly,carData,Format Effects on Recall,30,2,0,0,1,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Friendly.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Friendly.html
Ginzberg,carData,Data on Depression,82,6,0,0,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Ginzberg.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Ginzberg.html
Greene,carData,Refugee Appeals,384,7,3,0,6,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Greene.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Greene.html
GSSvocab,carData,Data from the General Social Survey (GSS) from the National Opinion Research Center of the University of Chicago.,28867,8,2,0,5,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/carData/GSSvocab.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/GSSvocab.html
Guyer,carData,Anonymity and Cooperation,20,3,2,0,2,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Guyer.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Guyer.html
Hartnagel,carData,Canadian Crime-Rates Time Series,38,8,0,0,0,0,8,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Hartnagel.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Hartnagel.html
Highway1,carData,Highway Accidents,39,12,0,0,1,0,11,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Highway1.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Highway1.html
KosteckiDillon,carData,Treatment of Migraine Headaches,4152,9,2,0,4,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/carData/KosteckiDillon.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/KosteckiDillon.html
Leinhardt,carData,Data on Infant-Mortality,105,4,1,0,2,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Leinhardt.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Leinhardt.html
LoBD,carData,Cancer drug data use to provide an example of the use of the skew power distributions.,84,9,0,0,1,0,8,https://vincentarelbundock.github.io/Rdatasets/csv/carData/LoBD.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/LoBD.html
Mandel,carData,Contrived Collinear Data,8,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Mandel.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Mandel.html
Migration,carData,Canadian Interprovincial Migration Data,90,8,0,0,2,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Migration.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Migration.html
Moore,carData,"Status, Authoritarianism, and Conformity",45,4,1,0,2,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Moore.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Moore.html
MplsDemo,carData,"Minneapolis Demographic Data 2015, by Neighborhood",84,8,0,1,0,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/carData/MplsDemo.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/MplsDemo.html
MplsStops,carData,Minneapolis Police Department 2017 Stop Data,51920,14,5,0,10,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/carData/MplsStops.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/MplsStops.html
Mroz,carData,U.S. Women's Labor-Force Participation,753,8,3,0,3,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Mroz.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Mroz.html
OBrienKaiser,carData,O'Brien and Kaiser's Repeated-Measures Data,16,17,1,0,2,0,15,https://vincentarelbundock.github.io/Rdatasets/csv/carData/OBrienKaiser.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/OBrienKaiser.html
OBrienKaiserLong,carData,"O'Brien and Kaiser's Repeated-Measures Data in ""Long"" Format",240,6,1,0,4,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/carData/OBrienKaiserLong.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/OBrienKaiserLong.html
Ornstein,carData,Interlocking Directorates Among Major Canadian Firms,248,4,0,0,2,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Ornstein.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Ornstein.html
Pottery,carData,Chemical Composition of Pottery,26,6,0,0,1,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Pottery.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Pottery.html
Prestige,carData,Prestige of Canadian Occupations,102,6,0,0,1,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Prestige.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Prestige.html
Quartet,carData,Four Regression Datasets,11,6,1,0,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Quartet.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Quartet.html
Robey,carData,Fertility and Contraception,50,3,0,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Robey.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Robey.html
Rossi,carData,Rossi et al.'s Criminal Recidivism Data,432,62,58,0,57,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Rossi.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Rossi.html
Sahlins,carData,Agricultural Production in Mazulu Village,20,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Sahlins.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Sahlins.html
Salaries,carData,Salaries for Professors,397,6,2,0,3,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Salaries.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Salaries.html
SLID,carData,Survey of Labour and Income Dynamics,7425,5,1,0,2,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/carData/SLID.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/SLID.html
Soils,carData,Soil Compositions of Physical and Chemical Characteristics,48,14,0,0,5,0,9,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Soils.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Soils.html
States,carData,Education and Related Statistics for the U.S. States,51,7,0,0,1,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/carData/States.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/States.html
TitanicSurvival,carData,Survival of Passengers on the Titanic,1309,4,2,0,3,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/carData/TitanicSurvival.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/TitanicSurvival.html
Transact,carData,Transaction data,261,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Transact.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Transact.html
UN,carData,"National Statistics from the United Nations, Mostly From 2009-2011",213,7,0,0,2,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/carData/UN.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/UN.html
UN98,carData,United Nations Social Indicators Data 1998],207,13,0,0,1,0,12,https://vincentarelbundock.github.io/Rdatasets/csv/carData/UN98.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/UN98.html
USPop,carData,Population of the United States,22,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/carData/USPop.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/USPop.html
Vocab,carData,Vocabulary and Education,30351,4,1,0,1,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Vocab.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Vocab.html
WeightLoss,carData,Weight Loss Data,34,7,0,0,1,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/carData/WeightLoss.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/WeightLoss.html
Wells,carData,Well Switching in Bangladesh,3020,5,2,0,2,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Wells.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Wells.html
Womenlf,carData,Canadian Women's Labour-Force Participation,263,4,1,0,3,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Womenlf.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Womenlf.html
Wong,carData,Post-Coma Recovery of IQ,331,7,1,0,1,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Wong.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Wong.html
Wool,carData,Wool data,27,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/carData/Wool.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/Wool.html
WVS,carData,World Values Surveys,5381,6,3,0,5,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/carData/WVS.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/WVS.html
agriculture,cluster,European Union Agricultural Workforces,12,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/cluster/agriculture.csv,https://vincentarelbundock.github.io/Rdatasets/doc/cluster/agriculture.html
animals,cluster,Attributes of Animals,20,6,6,0,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/cluster/animals.csv,https://vincentarelbundock.github.io/Rdatasets/doc/cluster/animals.html
chorSub,cluster,Subset of C-horizon of Kola Data,61,10,0,0,0,0,10,https://vincentarelbundock.github.io/Rdatasets/csv/cluster/chorSub.csv,https://vincentarelbundock.github.io/Rdatasets/doc/cluster/chorSub.html
flower,cluster,Flower Characteristics,18,8,3,0,6,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/cluster/flower.csv,https://vincentarelbundock.github.io/Rdatasets/doc/cluster/flower.html
plantTraits,cluster,Plant Species Traits Data,136,31,20,0,28,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/cluster/plantTraits.csv,https://vincentarelbundock.github.io/Rdatasets/doc/cluster/plantTraits.html
pluton,cluster,Isotopic Composition Plutonium Batches,45,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/cluster/pluton.csv,https://vincentarelbundock.github.io/Rdatasets/doc/cluster/pluton.html
ruspini,cluster,Ruspini Data,75,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/cluster/ruspini.csv,https://vincentarelbundock.github.io/Rdatasets/doc/cluster/ruspini.html
votes.repub,cluster,Votes for Republican Candidate in Presidential Elections,50,31,0,0,0,0,31,https://vincentarelbundock.github.io/Rdatasets/csv/cluster/votes.repub.csv,https://vincentarelbundock.github.io/Rdatasets/doc/cluster/votes.repub.html
xclara,cluster,Bivariate Data Set with 3 Clusters,3000,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/cluster/xclara.csv,https://vincentarelbundock.github.io/Rdatasets/doc/cluster/xclara.html
affairs,COUNT,affairs,601,18,17,0,0,0,18,https://vincentarelbundock.github.io/Rdatasets/csv/COUNT/affairs.csv,https://vincentarelbundock.github.io/Rdatasets/doc/COUNT/affairs.html
azcabgptca,COUNT,azcabgptca,1959,6,4,0,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/COUNT/azcabgptca.csv,https://vincentarelbundock.github.io/Rdatasets/doc/COUNT/azcabgptca.html
azdrg112,COUNT,azdrg112,1798,4,3,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/COUNT/azdrg112.csv,https://vincentarelbundock.github.io/Rdatasets/doc/COUNT/azdrg112.html
azpro,COUNT,azpro,3589,6,4,0,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/COUNT/azpro.csv,https://vincentarelbundock.github.io/Rdatasets/doc/COUNT/azpro.html
azprocedure,COUNT,azprocedure,3589,6,4,0,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/COUNT/azprocedure.csv,https://vincentarelbundock.github.io/Rdatasets/doc/COUNT/azprocedure.html
badhealth,COUNT,badhealth,1127,3,1,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/COUNT/badhealth.csv,https://vincentarelbundock.github.io/Rdatasets/doc/COUNT/badhealth.html
fasttrakg,COUNT,fasttrakg,15,9,6,0,0,0,9,https://vincentarelbundock.github.io/Rdatasets/csv/COUNT/fasttrakg.csv,https://vincentarelbundock.github.io/Rdatasets/doc/COUNT/fasttrakg.html
fishing,COUNT,fishing,147,7,1,0,1,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/COUNT/fishing.csv,https://vincentarelbundock.github.io/Rdatasets/doc/COUNT/fishing.html
